Date,End,Begin,Daily High,Daily Low
25.10.2025,3270.72,3270.72,3270.72,3270.72
26.10.2025,3248.32,3274.53,3274.53,3237.37
27.10.2025,3172.52,3246.68,3257.59,3157.78
28.10.2025,3125.7,3162.56,3188.66,3083.77
29.10.2025,3155.72,3153.76,3223.49,3134.22
30.10.2025,3237.01,3161.35,3237.25,3138.55
31.10.2025,3222.62,3247.6,3255.11,3199.14
01.11.2025,3217.6,3217.6,3217.6,3217.6
02.11.2025,3220.02,3220.02,3220.02,3220.02
03.11.2025,3233.17,3226.5,3256.15,3202.14
04.11.2025,3185.73,3244.23,3244.23,3183.43
05.11.2025,3223.2,3190.42,3231.96,3183.88
06.11.2025,3207.55,3202.66,3241.61,3197.89
07.11.2025,3219.95,3202.81,3241.82,3202.47
08.11.2025,3219.34,3219.34,3219.34,3219.34
09.11.2025,3223.55,3223.55,3223.55,3223.55
10.11.2025,3313.76,3226.37,3314.59,3225.17
11.11.2025,3304.34,3296.43,3321.98,3280.58
12.11.2025,3349.06,3295.76,3360.75,3271.16
13.11.2025,3306.7,3332.17,3363.66,3286.97
14.11.2025,3239.87,3319.61,3343.76,3203.42
15.11.2025,3246.43,3246.43,3246.43,3246.43
16.11.2025,3239.19,3239.19,3239.19,3239.19
17.11.2025,3220.46,3249.24,3268.69,3189.92
18.11.2025,3253.44,3242.14,3264.38,3197.67
19.11.2025,3284.45,3276.36,3328.31,3266.94
20.11.2025,3285.92,3292.24,3312.53,3256.54
21.11.2025,3287.27,3293.8,3315.25,3254.38
22.11.2025,3286.87,3286.87,3286.87,3286.87
23.11.2025,3286.46,3286.46,3286.46,3286.46
24.11.2025,3343.44,3288.45,3345.45,3266.02
25.11.2025,3335.77,3339.97,3358.13,3319.03
26.11.2025,3348.62,3326.0,3355.96,3321.37
27.11.2025,3347.15,3354.27,3355.96,3335.15
28.11.2025,3388.25,3341.33,3396.78,3341.33
29.11.2025,3392.22,3392.22,3392.22,3308.53
30.11.2025,3389.09,3389.09,3389.09,3389.09
01.12.2025,3404.37,3397.86,3430.3,3385.96
02.12.2025,3377.31,3398.42,3401.47,3346.53
03.12.2025,3360.87,3362.61,3391.35,3354.55
04.12.2025,3381.42,3379.15,3389.46,3355.11
05.12.2025,3377.63,3386.68,3427.29,3374.65
06.12.2025,3372.58,3372.58,3372.58,3372.58
07.12.2025,3375.81,3375.95,3375.95,3375.8
08.12.2025,3380.74,3391.78,3404.15,3370.98
09.12.2025,3393.66,3381.11,3403.85,3363.51
10.12.2025,3383.35,3367.87,3391.01,3347.14
11.12.2025,3401.13,3360.36,3405.84,3341.16
12.12.2025,3424.3,3408.23,3464.15,3389.55
13.12.2025,3419.95,3419.95,3419.95,3419.95
14.12.2025,3424.3,3424.3,3424.3,3424.3
15.12.2025,3426.97,3426.13,3462.66,3412.77
16.12.2025,3420.86,3425.25,3446.54,3397.75
17.12.2025,3451.64,3422.88,3459.24,3422.82
18.12.2025,3441.42,3446.75,3474.38,3422.71
19.12.2025,3450.87,3448.76,3464.81,3427.92
20.12.2025,3448.48,3448.48,3448.48,3448.48
21.12.2025,3450.87,3450.87,3450.87,3450.87
22.12.2025,3519.01,3435.69,3523.24,3435.69
23.12.2025,3533.93,3505.63,3545.0,3491.33
24.12.2025,3531.74,3538.47,3567.26,3507.27
25.12.2025,3527.71,3527.71,3527.71,3527.71
26.12.2025,3578.06,3543.21,3591.59,3540.0
27.12.2025,3577.9,3577.9,3577.9,3577.9
28.12.2025,3577.6,3577.6,3577.6,3577.6
29.12.2025,3418.21,3586.19,3586.19,3400.85
30.12.2025,3435.05,3437.83,3486.43,3423.96
31.12.2025,3420.14,3440.14,3466.67,3388.33
